Ingredient,Type,Purpose,Skin Type
Tetrapeptide-14,Peptide,"Reduces inflammation, boosts collagen",all skin types
Palmitoyl Tripeptide-38,Peptide,"Reduces wrinkles, promotes collagen synthesis",all skin types
Sucrose Palmitate,Emulsifier,"Stabilizes formulations, enhances texture",all skin types
Glutathione,Antioxidant,"Brightens skin, reduces oxidative stress",all skin types
Triglycerides Of Caprylic/Capric Acid,Emollient,"Moisturizes, soothes skin",dry
Glyceryl Linoleate,Emollient,"Provides moisture, helps repair the skin barrier",dry
Decyl Glucoside,Surfactant,"Cleanses skin, mild cleansing agent",sensitive skin
Ammonium Acryloyldimethyltaurate/VP Copolymer,Polymer/Thickener,"Stabilizes emulsions, enhances texture",all skin types
Hydroxypropyl Cyclodextrin,Encapsulating Agent,Enhances delivery of active ingredients,all skin types
Polysilicone-11,Silicone,"Enhances spreadability, smooths texture",all skin types
Sodium Hydroxide,pH Adjuster,Balances pH of formulations,all skin types
Potassium Sorbate,Preservative,"Prevents microbial growth, extends shelf life",all skin types
Water (Eau),Solvent,Base for dissolving ingredients,all skin types
Glycerin,Humectant,Moisturizes and maintains skin hydration,dry
Dimethicone,Silicone,"Forms a barrier, smoothens, moisturizes skin","oily,combination"
Stearic Acid,Fatty Acid,"Emulsifier, thickens the product",all skin types
Isopropyl Palmitate,Emollient,Softens and smoothens the skin,dry
Glycol Stearate,Emulsifier,"Stabilizes emulsions, improves texture",all skin types
PEG-100 Stearate,Emulsifier,"Stabilizes emulsions, improves texture",all skin types
Petrolatum,Occlusive agent,"Forms a barrier, prevents moisture loss",dry
Glyceryl Stearate,Emulsifier,"Stabilizes emulsions, improves texture",all skin types
Caprylyl Glycol,Humectant/Preservative,Moisturizes and prevents microbial growth,all skin types
Phenoxyethanol,Preservative,Prevents microbial growth,all skin types
Cetyl Alcohol,Emollient/Emulsifier,"Softens skin, stabilizes emulsions",all skin types
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Thickener/Film-forming agent,"Stabilizes formulas, smoothens the texture",all skin types
Triethanolamine,pH Adjuster,Adjusts pH levels of the product,all skin types
Fragrance (Parfum),Fragrance,Adds scent to the product,all skin types
Helianthus Annuus (Sunflower) Seed Oil,Oil,"Moisturizes, softens, and has antioxidant properties",all skin types
Triolein,Emollient,"Moisturizes, smoothens the skin",all skin types
Disodium EDTA,Chelating Agent,"Stabilizes the formulation, prevents degradation",all skin types
Stearamide AMP,Surfactant/Emulsifier,"Enhances emulsification, improves texture",all skin types
Carbomer,Thickener/Viscosity Agent,"Stabilizes the product, enhances texture",all skin types
Titanium Dioxide (CI 77891),Sunscreen agent/Opacifier,"Provides UV protection, gives opacity to the formula",all skin types
Ethoxydiglycol,Solvent,"Helps dissolve other ingredients, improves absorption",all skin types
Ascorbic Acid,Antioxidant/Vitamin C,"Brightens skin, reduces signs of aging",all skin types
Propylene Glycol,Humectant/Preservative,Draws moisture into the skin,dry
Laureth-23,Surfactant,"Cleanses and foams, emulsifies",all skin types
Tocopherol,Vitamin E/Antioxidant,"Protects skin from free radicals, moisturizes",all skin types
Triethanolamine,pH Adjuster,"Balances pH, stabilizes product",all skin types
Ferulic Acid,Antioxidant,"Protects from free radicals, brightens skin",all skin types
Panthenol,Vitamin B5/Humectant,"Soothes, hydrates, improves skin barrier","dry,sensitive skin"
Sodium Hyaluronate,Humectant,"Hydrates skin, plumps up fine lines",dry
Gluconolactone,Polyhydroxy Acid,"Exfoliates, improves skin texture",sensitive skin
Butylene Glycol,Humectant,"Moisturizes, draws water into the skin",dry
PEG/PPG/Polybutylene Glycol-8/5/3 Glycerin,Humectant/Emulsifier,Moisturizes and softens skin,all skin types
Alcohol Denat,Solvent/Antiseptic,"Helps dissolve other ingredients, dries skin","oily,acne-prone skin"
Pentylene Glycol,Humectant/Preservative,Moisturizes and stabilizes formulations,all skin types
Methyl Gluceth-20,Humectant,Hydrates and soothes skin,"dry,sensitive skin"
Potassium Hydroxide,pH Adjuster,Adjusts pH of the product,all skin types
Salicylic Acid,Beta Hydroxy Acid (BHA),"Exfoliates, unclogs pores, treats acne","oily,acne-prone skin"
Chlorphenesin,Preservative,Prevents microbial growth,all skin types
Phytic Acid,Exfoliant/Antioxidant,"Exfoliates, brightens skin, reduces pigmentation",sensitive skin
Adenosine,Anti-aging,"Smoothens wrinkles, boosts collagen production",all skin types
Sodium Benzoate,Preservative,Prevents microbial growth,all skin types
Laminaria Digitata Extract,Extract,"Provides minerals, hydrates and soothes skin",all skin types
Panax Ginseng Root Oil,Oil,Revitalizes and energizes the skin,all skin types
Lauryl Dimethicone/Polyglycerin-3 Crosspolymer,Film-forming agent,"Forms a smooth texture, prevents moisture loss",all skin types
Polymethylsilsesquioxane,Silicone/Film-forming agent,"Smoothens skin, provides a matte finish","oily,combination"
Polyacrylate Crosspolymer-6,Polymer/Thickener,"Stabilizes formula, provides a smooth texture",all skin types
Xanthan Gum,Thickener/Viscosity Agent,"Improves texture, stabilizes products",all skin types
Ammonium Polyacryloyldimethyl Taurate,Polymer/Thickener,"Stabilizes emulsions, provides texture",all skin types
Helianthus Annuus Seed Oil Unsaponifiables,Oil/Emollient,"Moisturizes, nourishes skin","dry,sensitive skin"
Myristyl Myristate,Emollient,"Provides a smooth texture, softens skin",all skin types
Capryloyl Glycine,Antibacterial,Reduces acne-causing bacteria,"oily,acne-prone skin"
Hydrolyzed Rice Protein,Protein,"Strengthens skin barrier, hydrates skin","sensitive,dry"
Coco-Glucoside,Surfactant,"Gentle cleanser, emulsifier",sensitive skin
Argilla/Magnesium Aluminium Silicate,Thickener,"Stabilizes formulations, provides smooth texture",all skin types
Lavandula Angustifolia Oil/Lavender Oil,Essential Oil,"Soothes, provides fragrance",sensitive skin
Mentha Piperita Oil/Peppermint Oil,Essential Oil,"Provides cooling sensation, antimicrobial",oily
Glaucine,Brightening Agent,"Reduces pigmentation, evens skin tone",all skin types
Tetradecyl Aminobutyroylvalylaminobutyric Urea Trifluoroacetate,Peptide,"Reduces wrinkles, boosts skin elasticity",all skin types
Magnesium Chloride,Mineral,"Hydrates, strengthens skin",sensitive skin
Hydrated Silica,Abrasive/Exfoliant,"Gently exfoliates, removes impurities",all skin types
Propylene Glycol,Humectant,"Retains moisture, improves hydration",all skin types
Cocamidopropyl Betaine,Surfactant,"Cleanses skin, reduces irritation",sensitive skin
Sodium Laureth Sulfate,Surfactant,"Cleanses skin, foaming agent","oily,combination"
Triethanolamine,pH Adjuster,Balances pH of formulations,all skin types
Polysorbate 21,Emulsifier,"Stabilizes formulations, improves texture",all skin types
PEG-180,Humectant/Thickener,"Retains moisture, improves product consistency",all skin types
Hydroxyethyl Urea,Humectant,"Enhances hydration, smooths texture","dry,sensitive skin"
Behentrimonium Chloride,Surfactant/Conditioner,"Cleanses and conditions, reduces static",all skin types
Parfum/Fragrance,Fragrance,Adds scent to the product,all skin types
Amodimethicone,Silicone,"Improves texture, reduces frizz",all skin types
Prunus Armeniaca Seed Powder/Apricot Seed Powder,Exfoliant,Gently exfoliates skin,all skin types
Cetyl Esters,Emollient,"Enhances smoothness, provides conditioning",dry
Hydroxyethylcellulose,Thickener/Film Former,"Provides texture, stabilizes formulations",all skin types
Benzoic Acid,Preservative,Prevents microbial growth,all skin types
Isopropyl Alcohol,Solvent,Helps dissolve ingredients,oily
Trideceth-6,Surfactant,Helps solubilize oils in water,all skin types
Citronellol,Fragrance Component,Adds a floral scent,all skin types
Chlorhexidine Digluconate,Antiseptic,Reduces bacterial growth,all skin types
Linalool,Fragrance Component,Adds a floral scent,all skin types
Limonene,Fragrance Component,Adds a citrus scent,all skin types
Geraniol,Fragrance Component,Adds a floral scent,all skin types
Cetrimonium Chloride,Surfactant/Conditioner,"Softens hair, reduces frizz",all skin types
Algae Extract,Extract,Hydrates and nourishes skin,all skin types
Melia Azadirachta Leaf Extract,Extract,"Soothes skin, provides antioxidant benefits",sensitive skin
Cetearyl Alcohol,Emollient/Thickener,"Softens skin, stabilizes emulsions",all skin types
Di-C12-13 Alkyl Malate,Emollient,Softens and smoothens skin,all skin types
PPG-5-Laureth-5,Surfactant,Improves texture and cleanses,all skin types
Steareth-21,Emulsifier,"Stabilizes formulations, enhances texture",all skin types
Pentaerythrityl Distearate,Emollient/Thickener,"Provides a smooth texture, conditions skin",dry
Imidazolidinyl Urea,Preservative,Prevents microbial growth,all skin types
Lactobacillus/Punica Granatum Fruit Ferment Extract,Ferment/Extract,"Hydrates skin, provides antioxidant benefits",sensitive skin
Hexyl Cinnamal,Fragrance Component,Adds a floral scent,all skin types
Benzyl Salicylate,Fragrance Component,Adds a sweet scent,all skin types
Alpha-Isomethyl Ionone,Fragrance Component,Adds a floral scent,all skin types
Populus Tremuloides Bark Extract,Extract,"Soothes skin, provides antioxidant benefits",sensitive skin
Cellulose,Thickener/Film Former,"Provides texture, enhances formulation",all skin types
Isopropyl Palmitate,Emollient,Softens and smoothens skin,dry
Petrolatum,Occlusive,"Locks in moisture, prevents water loss","dry,sensitive skin"
Titanium Dioxide,Mineral UV Filter,Protects from UV rays,all skin types
Mannan,Thickener/Emollient,"Provides structure, hydrates skin",all skin types
Panthenol,Pro-Vitamin B5,"Hydrates, soothes, and promotes healing",all skin types
Hydrogenated C12-18 Triglycerides,Emollient,Moisturizes and softens skin,dry
Rosa Centifolia Flower Water,Extract,Hydrates and soothes skin,sensitive skin
Carapa Guaianensis Seed Powder,Exfoliant,Gently exfoliates skin,all skin types
Inulin Lauryl Carbamate,Skin Conditioner,Hydrates and softens skin,all skin types
Squalane,Emollient,Moisturizes and improves skin elasticity,"dry,sensitive skin"
Sodium Stearoyl Lactylate,Emulsifier,"Stabilizes formulations, enhances texture",all skin types
Trisodium Ethylenediamine Disuccinate,Chelating Agent,Enhances stability of formulations,all skin types
Sodium Laurylglucosides Hydroxypropylsulfonate,Surfactant,Gently cleanses skin,all skin types
Glycine Soja (Soybean) Oil,Emollient,"Moisturizes, softens, and nourishes skin",dry
Theobroma Cacao (Cocoa) Extract,Antioxidant/Conditioner,"Protects skin, hydrates, and soothes",all skin types
Sorbitan Sesquioleate,Emulsifier,"Stabilizes formulations, enhances texture",all skin types
Juglans Regia (Walnut) Shell Powder,Exfoliant,Gently exfoliates skin,all skin types
Lauramidopropyl Betaine,Surfactant,"Cleanses skin, provides mild foaming",all skin types
Theobroma Cacao (Cocoa) Powder,Antioxidant/Conditioner,Protects skin and provides nourishment,all skin types
Hydrolyzed Milk Protein,Protein/Conditioner,"Moisturizes, soothes, and strengthens skin",all skin types
PVP,Film-forming Agent,Provides smooth texture and stability,all skin types
Sodium Acetate,pH Adjuster,Balances pH in formulations,all skin types
Benzyl Benzoate,Fragrance Ingredient,Adds fragrance to products,all skin types
Olea Europaea Leaf Extract,Extract,"Antioxidant, soothes and protects skin",all skin types
Sodium Olivamphoacetate,Surfactant,"Cleanses skin, mild foaming agent",all skin types
PPG-26-Buteth-26,Solubilizer/Emulsifier,Enhances solubility of ingredients,all skin types
PEG-40 Hydrogenated Castor Oil,Emulsifier,"Stabilizes formulations, enhances texture",all skin types
Hydroxypropyl Methylcellulose,Thickener,Provides structure and stability to formulas,all skin types
Ci 47005 (D&C Yellow No. 10),Colorant,Adds yellow pigment to formulations,all skin types
Ci 42090 (FD&C Blue No. 1),Colorant,Adds blue pigment to formulations,all skin types
Ci 19140 (FD&C Yellow No. 5),Colorant,Adds yellow pigment to formulations,all skin types
Sodium Lauroyl Methyl Isethionate*,Surfactant,Cleansing,all skin types
Cocamidopropyl Betaine*,Surfactant,"Cleansing, foam boosting",sensitive skin
Sodium Cocoyl Isethionate*,Surfactant,Mild cleansing,"dry,sensitive"
Glycerin*,Humectant,Hydration,all skin types
Cocos Nucifera (Coconut) Oil,Emollient,Moisturizing,dry
Glyceryl Stearate*,Emulsifier,Stabilizing formulations,all skin types
Sodium Methyl Oleoyl Taurate*,Surfactant,Cleansing,sensitive skin
Microcrystalline Cellulose*,Texture enhancer,Thickening agent,all skin types
Hydrogenated Castor Oil,Emollient,Moisturizing,all skin types
Lithium Magnesium Sodium Silicate,Stabilizer,Thickening and stabilizing,all skin types
Panthenol*,Humectant,"Soothing, hydration",sensitive skin
Xylitylglucoside*,Humectant,Moisturizing,all skin types
Charcoal Powder,Absorbent,Detoxifying,oily
Melaleuca Alternifolia (Tea Tree) Leaf Oil,Essential oil,Antimicrobial,acne-prone
Mentha Piperita (Peppermint) Oil,Essential oil,"Cooling, soothing",oily
Zingiber Officinale (Ginger) Root Oil,Essential oil,Stimulating,all skin types
Mentha Viridis (Spearmint) Leaf Oil,Essential oil,"Cooling, soothing",oily
Anhydroxylitol*,Humectant,Moisturizing,all skin types
Bisabolol*,Skin conditioner,Soothing,sensitive skin
Menthyl Lactate*,Cooling agent,Refreshing,oily
Xylitol*,Humectant,Moisturizing,all skin types
Polyquaternium-7,Conditioner,Smoothing,all skin types
Fragrance,Fragrance,Adds scent,all skin types
Propylene Glycol,Humectant,Hydration,all skin types
Phenoxyethanol,Preservative,"Antimicrobial, extends shelf life",all skin types
Polysorbate 80,Emulsifier,Solubilizes oils in water,all skin types
Sodium Benzoate,Preservative,Antimicrobial,all skin types
Sodium Hyaluronate,Humectant,"Hydration, plumping",all skin types
Hydroxyethylcellulose,Thickener,Enhances texture,all skin types
Disodium EDTA,Chelating agent,Stabilizes formulas,all skin types
Olea Europaea (Olive) Leaf Extract,Antioxidant,Protects from free radicals,"dry,sensitive"
Benzophenone-4,UV filter,Protects against UV radiation,all skin types
Butylene Glycol,"Humectant, solvent",Hydration,all skin types
Citrus Grandis (Grapefruit) Fruit Extract,Antioxidant,"Refreshing, brightening","oily,acne-prone"
Cucumis Sativus (Cucumber) Fruit Extract,Skin conditioner,"Soothing, hydrating",sensitive skin
Thymus Vulgaris (Thyme) Extract,"Antimicrobial, astringent",Clarifying,"oily,acne-prone"
Benzyl Benzoate,"Solvent, fragrance",Adds scent,all skin types
Alpha-Isomethyl Ionone,Fragrance,Adds scent,all skin types
Morus Bombycis (Morus Bombycis) Root Extract,Antioxidant,Brightening,all skin types
Linalool,Fragrance,Adds scent,all skin types
CI 42090 (Blue 1),Colorant,Adds color,all skin types
Aloe Barbadensis Extract,Skin conditioner,"Soothing, hydrating","sensitive,dry"
Caprylic/Capric Triglyceride,Emollient,"Moisturizing, softening",all skin types
Cetearyl Alcohol,"Emulsifier, emollient","Stabilizes formulas, moisturizes",all skin types
Tocopheryl Acetate,Antioxidant,Protects from free radicals,all skin types
Vaccinium Myrtillus Extract,Antioxidant,"Brightening, soothing",all skin types
Ceteareth-20,Emulsifier,Mixes oil and water,all skin types
Rosa Canina Flower Oil,"Antioxidant, emollient","Moisturizing, brightening","dry,mature skin"
Saccharum Officinarum Extract (Sugarcane),Exfoliant,"Brightening, gentle exfoliation",all skin types
Dimethicone,Occlusive,Locks in moisture,all skin types
Propylene Glycol Dicaprylate/Dicaprate,Emollient,"Moisturizing, skin conditioning",all skin types
Citrus Aurantium Dulcis (Orange) Fruit Extract,Antioxidant,"Refreshing, brightening",all skin types
Citrus Medica Limonum (Lemon) Peel Extract,"Antioxidant, astringent","Brightening, clarifying","oily,acne-prone"
PVP,Film-forming agent,Provides texture and hold,all skin types
Symphytum Officinale Extract,Skin conditioner,"Soothing, healing","sensitive,dry"
Xanthan Gum,Thickener,Enhances texture,all skin types
Chamomilla Recutita (Matricaria) Flower Extract,Skin conditioner,"Soothing, calming","sensitive,dry"
Methylparaben,Preservative,Antimicrobial,all skin types
Acer Saccharinum (Sugar Maple) Extract,Exfoliant,"Brightening, gentle exfoliation",all skin types
PPG-1 Trideceth-6,"Emulsifier, surfactant",Enhances texture,all skin types
Ethylparaben,Preservative,Antimicrobial,all skin types
Propylparaben,Preservative,Antimicrobial,all skin types
Isobutylparaben,Preservative,Antimicrobial,all skin types
Butylparaben,Preservative,Antimicrobial,all skin types
Hydroxyethyl Urea,Humectant,"Hydrating, skin conditioning",all skin types
Hydroxyethylpiperazine Ethane Sulfonic Acid,"pH adjuster, buffer",Regulates pH levels,all skin types
Pentylene Glycol,"Humectant, solvent","Moisturizing, skin conditioning",all skin types
Saccharomyces/Xylinum/Black Tea Ferment,Antioxidant,"Antioxidant, anti-aging",all skin types
Glycolic Acid,Alpha Hydroxy Acid (AHA),"Exfoliant, improves skin texture","all skin types,especially oily/acne-prone"
Coco-Glucoside,"Surfactant, cleanser","Cleansing, foaming agent","sensitive skin,dry"
Ammonium Polyacryloyldimethyl Taurate,"Thickener, emulsifier","Improves texture, enhances stability",all skin types
Sodium Methyl Cocoyl Taurate,Surfactant,"Cleansing, gentle foaming agent",all skin types
Phytic Acid,"Exfoliant, antioxidant","Exfoliation, skin brightening",sensitive skin
Dipropylene Glycol,"Humectant, solvent","Moisturizing, skin conditioning",all skin types
Coconut Acid,"Fatty Acid, surfactant","Cleansing, emulsifying agent","dry,sensitive skin"
Caprylyl Glycol,"Humectant, preservative","Moisturizing, antimicrobial",all skin types
Salicylic Acid,Beta Hydroxy Acid (BHA),"Exfoliant, acne treatment","oily,acne-prone skin"
Chlorphenesin,Preservative,Antimicrobial,all skin types
Ethylhexylglycerin,"Preservative, emollient","Skin conditioning, antimicrobial",all skin types
Boswellia Serrata Gum,"Resin, anti-inflammatory","Soothing, reduces inflammation",sensitive skin
Cymbopogon Schoenanthus Oil,"Essential oil, fragrance","Soothing, anti-inflammatory, antimicrobial",all skin types
Citral,"Fragrance, antioxidant","Fragrance, antioxidant properties",all skin types
Citric Acid,Alpha Hydroxy Acid (AHA),"pH adjuster, exfoliant",all skin types
Potassium Sorbate,Preservative,Antimicrobial,all skin types
Tocopherol,"Antioxidant, Vitamin E","Skin conditioning, antioxidant",all skin types
PEG-30 Glyceryl Cocoate,"Emulsifier, surfactant","Helps blend oils and water, mild cleanser","sensitive skin,dry"
Capryl/Capramidopropyl Betaine,"Surfactant, cleanser","Cleansing, foaming agent",sensitive skin
Disodium Laureth Sulfosuccinate,"Surfactant, cleanser","Mild cleansing, skin conditioning",sensitive skin
Sodium Hydroxide,pH Adjuster,"Balances pH, neutralizes acids",all skin types
Benzoic Acid,"Preservative, antimicrobial","Preserves products, fights bacteria",all skin types
Tocopheryl Acetate,"Antioxidant, Vitamin E","Skin conditioning, antioxidant",all skin types
Ascorbic Acid,"Antioxidant, Vitamin C","Brightening, antioxidant, collagen synthesis",all skin types
Triethyl Citrate,"Fragrance, solvent","Fragrance enhancer, skin conditioning",all skin types
Ferulic Acid,Antioxidant,"Protects from UV damage, brightening",all skin types
"1,3 Butylene Glycol",Humectant,"Moisturizing, skin conditioning",all skin types
L-Ascorbic Acid USP,"Antioxidant, Vitamin C","Brightening, collagen synthesis, antioxidant",all skin types
Ethoxydiglycol,"Solvent, Humectant","Enhances solubility, moisturizing",all skin types
Citrus Grandis (Grapefruit) Extract,Plant Extract,"Antioxidant, skin brightening, antimicrobial",all skin types
Isodecyl Neopentanoate,"Emollient, Solvent","Softens, smoothens skin, solvent for active ingredients","dry,sensitive,all"
Cyclopentasiloxane,Silicone,"Skin conditioning, provides smooth texture",all skin types
Glyceryl Acrylate/Acrylic Acid Copolymer,Polymer,"Film-forming, stabilizes formula",all skin types
Cyclotetrasiloxane,Silicone,"Solvent, skin conditioning, provides smooth texture",all skin types
Sodium Polyacrylate,Polymer,"Thickening agent, moisture retention",all skin types
Hydrogenated Polydecene,Emollient,"Moisturizing, softening skin","dry,sensitive,all"
Trideceth-6,Surfactant,"Cleansing agent, emulsifier",all skin types
Sucrose Cocoate,"Surfactant, Emollient","Skin conditioning, gentle cleansing","sensitive,dry"
Gynostemma Pentaphyllum Extract,Plant Extract,"Antioxidant, anti-aging, skin-soothing",all skin types
Panax Ginseng Extract,Plant Extract,"Energizing, anti-aging, revitalizing",all skin types
Palmitoyl Oligopeptide,Peptide,"Anti-aging, stimulates collagen production","mature skin,all"
Palmitoyl Tetrapeptide-7,Peptide,"Anti-aging, skin repair, collagen synthesis","mature skin,all"
Sodium Ascorbyl Phosphate,Vitamin C Derivative,"Antioxidant, brightening, collagen synthesis",all skin types
Saccharomyces Cerevisiae (Yeast) Extract,Yeast Extract,"Antioxidant, skin barrier repair, moisturizing",all skin types
Cholecalciferol,Vitamin D,"Skin repair, healing, anti-inflammatory","dry,sensitive,all"
Retinyl Palmitate,Vitamin A Derivative,"Skin renewal, anti-aging, brightening",all skin types
Hydrolyzed Hyaluronic Acid,Humectant,"Deep hydration, skin plumping","dry,sensitive,all"
Dimethiconol,Silicone,"Moisturizing, conditioning, skin-smoothing",all skin types
Diazolidinyl Urea,Preservative,"Antimicrobial, preservative","sensitive,oily"
Iodopropynyl Butylcarbamate,Preservative,"Antimicrobial, preservative","sensitive,oily"
Allantoin,"Skin Soothing, Healing","Soothes, heals, prevents irritation",all skin types
Ci 14700,Colorant,Adds color to products,all skin types
Mica,Mineral,"Adds shimmer, opacifier",all skin types
Magnesium Myristate,Emollient,"Skin conditioning, enhances texture","dry,sensitive"
Nylon-12,Synthetic Polymer,"Provides smooth finish, reduces shine","oily,combination"
Octyldodecyl Stearoyl Stearate,Ester,"Emollient, enhances spreadability",all skin types
Hdi/Trimethylol Hexyllactone Crosspolymer,Crosspolymer,"Improves texture, forms flexible film",all skin types
Squalane,"Emollient, Moisturizer","Hydrates, restores skin barrier","dry,sensitive,all"
Stearoyl Glutamic Acid,Amino Acid Derivative,"Skin conditioning, improves texture",all skin types
Hydrogenated Polycyclopentadiene,Polymer,"Skin conditioning, film-forming","dry,sensitive"
"1,2-Hexanediol","Humectant, Solvent","Moisturizing, solvent for active ingredients",all skin types
Caprylyl Glycol,"Humectant, Emollient","Moisturizing, anti-microbial",all skin types
Silica,Mineral,"Absorbs oil, improves texture","oily,combination"
Butylene Glycol,Humectant,"Moisturizing, solvent for active ingredients",all skin types
Aloe Barbadensis Leaf Juice,Plant Extract,"Soothing, moisturizing, anti-inflammatory","sensitive,dry"
Caffeine,Active Ingredient,"Reduces puffiness, energizes skin",all skin types
Nylon 6/12,Synthetic Polymer,"Provides smooth texture, film-forming",all skin types
Synthetic Fluorphlogopite,Synthetic Mica,"Adds shimmer, opacifier",all skin types
Olive Glycerides,Plant Extract,"Skin conditioning, moisturizing","dry,sensitive"
Ananas Sativus (Pineapple) Fruit Extract,Plant Extract,"Exfoliating, brightening","oily,combination"
Camellia Sinensis Leaf Extract,Plant Extract,"Antioxidant, anti-inflammatory, soothing",all skin types
Glycyrrhiza Glabra (Licorice) Root Extract,Plant Extract,"Soothing, brightening, anti-inflammatory","sensitive,all"
